Subscription,ResourceGroup,Resource,ResourceType,Environment,Project
TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-sql-ip,Microsoft.Network/publicIPAddresses,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-wfe01-ip,Microsoft.Network/publicIPAddresses,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,static-test-wfe-ip,Microsoft.Network/publicIPAddresses,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,static-wfe01-ip,Microsoft.Network/publicIPAddresses,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,static-wfe02-ip,Microsoft.Network/publicIPAddresses,uat,Associated with un attached nic
TfGM SharePoint,tfgm-rg-vn-ne1,testwaf-ip,Microsoft.Network/publicIPAddresses,,Un-attached
TfGM SharePoint,tfgm-rg-vn-ne1,tfgm-pip-spapp,Microsoft.Network/publicIPAddresses,?,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,tfgm-pip-spsql,Microsoft.Network/publicIPAddresses,?,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,tfgm-pip-spweb,Microsoft.Network/publicIPAddresses,,Un-attached
TfGM SharePoint,tfgm-rg-vn-ne1,TfGM-static-lbIP,Microsoft.Network/publicIPAddresses,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,tfgm-vn-ne1-vgw-pip,Microsoft.Network/publicIPAddresses,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,tfgm-vn-ne1,Microsoft.Network/virtualNetworks,,
TfGM SharePoint,tfgm-rg-vn-ne1,sp-edrms-sql,Microsoft.SqlVirtualMachine/SqlVirtualMachines,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-sql,Microsoft.SqlVirtualMachine/SqlVirtualMachines,Prod,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,tfgmrgvnne13317,Microsoft.Storage/storageAccounts,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,tfgmrgvnne1diag201,Microsoft.Storage/storageAccounts,,EDRMS - Logs?
TfGM SharePoint,tfgm-rg-vn-ne1,tfgmrgvnne1disks616,Microsoft.Storage/storageAccounts,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,tfgmrgvnne1disks862,Microsoft.Storage/storageAccounts,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,tfgmsassdne2,Microsoft.Storage/storageAccounts,Prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,tfgmsqlbkp,Microsoft.Storage/storageAccounts,Prod,EDRMS
TfGM Websites,CS-WebJobs-NorthEurope-scheduler,WebJobs-NorthEurope,Microsoft.Scheduler/jobcollections,,Chris March
TfGM Websites,CS-WebJobs-NorthEurope-scheduler,rss,Microsoft.Web/connections,,Chris March
TfGM Websites,Default-Storage-NorthEurope,webdevshowcase,Microsoft.Storage/storageAccounts,,Chris March
TfGM Websites,Default-Web-NorthEurope,2407EC6ACFA773CF89150751E06DAABDFD59C2D5#northeuropewebspace,Microsoft.Web/certificates,,Chris March
TfGM Websites,Default-Web-NorthEurope,72925468DD9EAB56B11B72DCC28A4EAABA45EF34#northeuropewebspace,Microsoft.Web/certificates,,Chris March
